"%s product requires your attention.","%s product heeft je attentie nodig."
"%s product was added to your shopping cart.","%s product is toegevoegd aan je winkelwagen."
"%s products require your attention.","%s producten hebben je attentie nodig."
"%s products were added to your shopping cart.","%s producten zijn toegevoegd aan je winkelwagen."
"%s was added to your shopping cart.","%s werd toegevoegd aan uw winkelwagentje."
"* Required Fields","* Vereiste Velden"
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel uit uw mandje wilt verwijderen?"
"Availability: Out of stock.","Beschikbaarheid: niet op voorraad."
"Back","Terug"
"Back to Billing Information","Terug naar de betalingsinformatie"
"Back to Select Addresses","Terug naar de adresselectie"
"Back to Shipping Information","Terug naar de verzendingsinformatie"
"Back to Shopping Cart","Terug naar het mandje"
"Based on your selection, you may be interested in the following items:","Gebaseerd op uw keuze, bent u misschien geïnteresseerd in de volgende items:"
"Billing Address","Factuuradres"
"Billing Information","Betalingsinformatie"
"Cancel","annuleren"
"Cancel Coupon","Coupon annuleren"
"Cannot add product","Kan product niet toevoegen"
"Cannot configure product","Kan product niet aanpassen"
"Card Verification Number Visual Reference","Visuele referentie kaartverificatienummer"
"Cart Subtotal:","Subtotaal mandje:"
"Change","Wijzigen"
"Change Billing Address","Verander Factuuradres"
"Checkout","Betalen"
"Checkout as Guest","Als een gast uitchecken"
"Checkout as a Guest","Betaal als Gast"
"Checkout as a Guest or Register","Betalen als een gast of registreren"
"Choose some products to add to shopping cart.","Kies een aantal producten om aan uw winkelwagen toe te voegen."
"City","Stad"
"Clear Shopping Cart","Maak winkelwagen leeg"
"Close","Sluiten"
"Company","Bedrijf"
"Configure","Configureren"
"Configure Cart Item","Artikel in mandje configureren"
"Confirm Password","Bevestig Wachtwoord"
"Continue","Doorgaan"
"Continue Shopping","Doorgaan met shoppen"
"Continue to Billing Information","Doorgaan naar de betalingsinformatie"
"Continue to Review Your Order","Doorgaan om uw bestelling te controleren"
"Continue to Shipping Information","Doorgaan naar verzendingsinformatie"
"Country","Land"
"Coupon code ""%s"" is not valid","Kortingscode ""%s"" is niet geldig"
"Customer Groups","Klantgroepen"
"Customer not found","klant niet gevonden"
"Customers","klanten"
"Default Billing","Standaard facturering"
"Default Shipping","Standaard verzending"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Bepaalt of een link naar My Account &gt; Order per SKU op de widget getoond zal worden"
"Disabled products cannot be added.","Niet actieve producten kunnen niet worden toegevoegd."
"Discount","korting"
"Discount Codes","Kortingcodes"
"Display a Link to Loading a Spreadsheet","Geef een link weer om een Spreadsheet te laden"
"Easy access to your order history and status","Makkelijke toegang tot uw bestelgeschiedenis en -status"
"Edit","Bewerk"
"Edit Address","Bewerk adres"
"Edit Items","Bewerk items"
"Edit item","Artikel bewerken"
"Email Address","E-mail adres"
"Empty Shopping Cart Content Before","Maak Inhoud Winkelwagen Leeg Vóór"
"Enable Order by SKU on My Account in Frontend","Sta Bestelling toe via SKU op Mijn Account in Frontend"
"Enter a New Address","Voer een nieuw adres in"
"Enter your coupon code if you have one.","Voer uw kortingsbon in als u die heeft."
"Enter your destination to get a shipping estimate.","Voer uw bestemming in om een schatting van de verzendkosten te krijgen."
"Estimate Shipping and Tax","Schat de verzendkosten en btw"
"Excl. Tax","exclusief btw"
"Failed to add a product of order item","Niet gelukt om een product toe te voegen van het bestelde item"
"Failed to reorder item","niet gelukt om item opnieuw te bestellen"
"Fast and easy check out","Snel en makkelijk afrekenen"
"Fax","Fax"
"File","Bestand"
"File cannot be uploaded.","Bestand kan niet worden geupload."
"File extensions allowed: .csv","Toegestane Bestandsextensies: .csv"
"File is corrupt.","Bestand is beschadigd."
"File is empty.","Bestand is leeg."
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","Bestand moet twee kolommen bevatten, met ""sku"" en ""qty"" in de header rij"
"Forgot your password?","Bent u uw wachtwoord vergeten?"
"Get a Quote","Verkrijg een prijsopgave"
"Get notified when back in stock","Ontvang een bericht als het product weer op voorraad is"
"Go to Shopping Cart","Ga naar Winkelwagentje"
"Grand Total:","Alles bij elkaar:"
"ID","identiteit"
"Incl. Tax","inclusief btw"
"Invalid block: %s.","Ongeldig blok: %s"
"Item was successfully removed.","Product is succesvol verwijderd."
"Items","Artikelen"
"Items After","Artikelen na"
"Items Before","Artikelen voor"
"Items were successfully removed.","Producten zijn succesvol verwijderd."
"Last ordered items (%s)","laatst bestelde items"
"Link Text","Linktekst"
"Load a list of SKUs","Laad een lijst met SKU's"
"Loading next step...","De volgende stap wordt geladen..."
"Login","log in"
"Login/Registration Before","Inloggen/Registratie voor"
"Manage Customers","manage klanten"
"Manage Shopping Cart","manage winkelwagen"
"Move to Wishlist","ga naar verlanglijstje"
"Multishipping Checkout","Multiverzending afrekening"
"Multishipping Checkout Address (Any) Form","Adresserings (alle) formulier voor multiverzending afrekening"
"Multishipping Checkout Billing Address Creation","Aanmaken van multiverzending afrekening factureeradres"
"Multishipping Checkout Billing Address Edit Form","Bewerkingsformulier voor multiverzending afrekening factureeradres"
"Multishipping Checkout Billing Address Selection","Factureringsadres-selectie voor multiverzending afrekening"
"Multishipping Checkout Billing Information Step","Factureringsinformatie stap voor multiverzending afrekening"
"Multishipping Checkout Customer Address Edit Form","Klantadres bewerkingsformulier voor multiverzending afrekening"
"Multishipping Checkout Overview","Multiverzending afrekening overzicht"
"Multishipping Checkout Shipping Address Creation","Aanmaak van verzendingsadres voor multiverzending afrekening"
"Multishipping Checkout Shipping Address Edit Form","Verzendadres bewerkingsformulier voor multiverzending afrekening"
"Multishipping Checkout Shipping Address Selection","Verzendingsadres-selectie voor multiverzending afrekening"
"Multishipping Checkout Shipping Information Step","Verzendingsinformatie stap vooo multiverzending afrekening"
"Multishipping Checkout Success","Multiverzending afrekening gelukt"
"My Cart (%s)","Mijn Winkelwagen"
"No","Nee"
"No ordered items","geen bestelde items"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","BESTELTOTAAL ZAL WORDEN GETOOND VOORDAT U DE BESTELLING VERSTUURD"
"One Page Checkout","Een-pagina afrekenen"
"One Page Checkout Failure","Een pagina-afrekening mislukt"
"One Page Checkout Overview","Afrekeningsoverzicht op een pagina"
"One Page Checkout Success","Een pagina-afrekening gelukt"
"Only %s%g%s left in stock","Slechts %s%g%s nog op voorraad"
"Only .csv file format is supported.","Alleen .csv bestanden worden ondersteund."
"Only <span id=""%s_max_allowed"">%s</span> in stock","Slechts <span id=""%s_max_allowed"">%s</span> op voorraad"
"Options Details","Instellingen Details"
"Order by SKU","Bestelling via SKU"
"Order by SKU Description","Bestelling via SKU Omschrijving"
"Order by SKU Settings","Bestelling via SKU Instellingen"
"Order by SKU Template","Bestelling via SKU Template"
"Ordered item id is not received.","I.D. van het bestelde product is niet ontvangen."
"Ordered item is not loaded.","Bestelde product is niet geladen."
"Other items in your order","Andere producten in uw bestelling"
"Overview Items After","Overzicht artikelen na"
"Password","Wachtwoord"
"Payment Method","Betaalwijze"
"Payment Methods After","Betalingsmethode Na"
"Payment Methods After Checkout Button","Betaalwijzen Na Kassa Knop"
"Payment Methods Before","Betalingsmethode Voor"
"Payment Methods Before Checkout Button","Betalingsmethoden Voor Afrekenknop"
"Place Order","Bestelling plaatsen"
"Please agree to all Terms and Conditions before placing the orders.","Gelieve in te stemmen met de Algemene Voorwaarden voor het plaatsen van de bestellingen."
"Please enter a valid number in the ""Qty"" field.","Gelieve een geldig nummer in te voeren in het ""Qty"" veld."
"Please log in below:","Gelieve hieronder aanmelden:"
"Please select region, state or province","Selecteer alstublieft regio, staat of provincie"
"Please select shipping address for applicable items","Gelieve een verzendadres selecteren voor de toepasselijke artikelen"
"Please specify the product\'s options.","Gelieve de product opties verder te specificeren."
"Price","prijs"
"Product","product"
"Product Name","productnaam"
"Product name","Productnaam"
"Products","producten"
"Products Requiring Attention","Producten die Aandacht Vereisen"
"Products in the Comparison List (%s)","producten in de vergelijkingslijst"
"Qty","hoeveelheid"
"Qty To Add","hoeveelheid om toe te voegen"
"Quote item id is not received.","I.D. van het quote product is niet ontvangen."
"Quote item is not loaded.","Quote product is niet geladen."
"Recently Compared Products (%s)","recent vergeleken producten"
"Recently Viewed Products (%s)","recent bekeken producten"
"Recently added item(s)","Recent toegevoegde artikel(en)"
"Register","Registreer"
"Register and save time!","Registreer en bespaar tijd!"
"Register to Create an Account","Registreer om een Account aan te maken"
"Register with us for future convenience:","Registreer bij ons voor gemak in de toekomst:"
"Remove","weghalen"
"Remove All","Alle verwijderen"
"Remove Coupon Code","haal couponcode weg"
"Remove Item","Product verwijderen"
"Remove Row","Verwijder Rij"
"Remove item","Verwijder artikel"
"Requested quantity is not available.","Gevraagde hoeveelheid is niet beschikbaar."
"Reset","Opnieuw"
"Review Order","Herzien Bestelling"
"Row Subtotal","rij van het subtotaal"
"SKU","stock keeping unit"
"SKU not found in catalog.","SKU niet gevonden in de catalogus."
"SKU: ","SKU:"
"Save in address book","Opslaan in adresboek"
"See price before order confirmation.","Zie prijs voor bevestiging van bestelling."
"Select Address","Kies Adres"
"Select Shipping Method","Kies Verzendingsmethode"
"Select State/Province...","Selecteer Staat/Provincie..."
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Select a shipping address from your address book or enter a new address.","Selecteer een verzendadres vanuit uw adresboek of geef een nieuw e-mailadres in"
"Send To","Stuur Naar"
"Ship to Multiple Addresses","Stuur naar Meerdere Adressen"
"Ship to different address","Verzend naar ander adres"
"Ship to this address","Verzend naar dit adres"
"Shipping Information","Verzendinformatie"
"Shipping Method","Verzendwijze"
"Shipping To","Verzenden naar"
"Shipping selection is not applicable","Verstuur selectie is niet van toepassing"
"Shopping Cart","winkelwagen"
"Shopping Cart Items","items in winkelwagen"
"Shopping Cart Items After","Boodschappen Wagen Items Na"
"Shopping Cart Items Before","Artikelen in Winkelwagen Voor"
"Shopping Cart Management","manage winkelwagen"
"Shopping Cart for %s in %s","winkelwagen voor ... in ...."
"Shopping cart management disabled for this customer.","winkelwagen management uitgeschakeld voor deze klant"
"Sorry, no quotes are available for this order at this time.","Sorry, op dit moment zijn er geen offertes beschikbaar voor deze bestelling."
"Specify the product\'s options","Productopties verder specificeren"
"State/Province","staat/provincie"
"Store not found.","Winkel niet gevonden"
"Street Address","Straat Adres"
"Street Address %s","Straatnaam en huisnummer %s"
"Submitting order information...","Doorgeven order informatie..."
"Subtotal","subtotaal"
"Subtotal:","subtotaal"
"Telephone","telefoon"
"The product cannot be added to cart in requested quantity.","Het product kan niet worden toegevoegd aan het winkelwagentje in de gevraagde hoeveelheid."
"The product cannot be added to cart.","Het product kan niet worden toegevoegd aan het winkelwagentje."
"The product is assigned to another website.","Het product is aan een andere website toegekend"
"The text of the link to the My Account &gt; Order by SKU page","De tekst van de link naar het My Account &gt; Bestel per SKU pagina"
"Total","totaal"
"Total %d product(s)","totaal ... producten"
"Total incl. tax","totaal inclusief btw"
"Unit Price","Prijs per stuk"
"Update Items and Qty\'s","Update Items en Hoeveelheden"
"Update Qty &amp; Addresses","Bijwerken Aantal &amp; Adressen"
"Update Shopping Cart","Winkelwagen bijwerken"
"Update Total","Totaal bijwerken"
"Use Billing Address","Factuuradres gebruiken"
"VAT Number","BTW nummer"
"View Details","Details bekijken"
"View Shopping Cart","kijk in winkelwagen"
"View and modify Shopping Cart","bekijk en pas de winkelwagen aan"
"Wishlist (%s)","verlanglijstje"
"Wishlist item id is not received.","I.D. van het verlanglijst product is niet ontvangen."
"Wishlist item is not loaded.","Verlanglijst product is niet geladen."
"Yes, for Everyone","Ja, voor iedereen"
"Yes, for Specified Customer Groups","Ja, voor speciale klantengroepen"
"You have %d item(s) requiring attention.","U heeft %d zaken die u aandacht nodig hebben."
"You have no items in your shopping cart.","Uw winkelwagen bevat geen artikelen."
"You have not entered any product sku.","U heeft niet een product sku opgegeven."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","U heeft geen product sku opgegeven. <a href=""%s"">Klik hier</a> alstublieft om producten toe te voegen door sku."
"Zip/Postal Code","Postcode"
