"%s; rev #%s","%s; 修订 #%s"
"Access Level","访问级别"
"List Style","列表样式"
"List Type","列表类型"
"Lower Alpha (a, b, c, ...)","字母表升序（a、b、c...）"
"Lower Roman (i, ii, iii, ...)","罗马数字升序（i、ii、iii...）"
"Main Navigation Menu Options","主导航菜单选项"
"Manage Content","管理内容"
"Manage Hierarchies","管理层次结构"
"Manage Hierarchy","管理层次结构"
"Manage Pages Hierarchy","管理页面层次结构"
"Maximal Depth","最大深度"
"Menu Detalization","菜单细节"
"Menu Layout","菜单布局"
"N/A","N/A"
"Neighbours and Children","邻居和儿童"
"New Page","新页面"
"New Revision","新修订"
"New Revision...","新修订..."
"Next","下一个"
"Next/Previous","下一个/上一个"
"No","否"
"No Nodes available","无可用节点"
"No preview available","无可用预览"
"Node","节点"
"Node Levels to Include","要包含的节点级别"
"Node Properties","节点属性"
"Node with same URL Key already exists.","使用相同URL Key的节点已存在。"
"Not Selected","非所选"
"Numbers (1, 2, 3, ...)","数字（1、2、3...）"
"Only Children","仅儿童"
"Ordered","已下单"
"Owner","所有者"
"Page ID","页面ID"
"Page Navigation Menu Options","页面导航菜单选项"
"Page Properties","页面属性"
"Page lock expires in 60 seconds. Save changes to avoid possible data loss.","页面将于60秒后锁定。请保存变动以避免数据丢失。"
"Page:","页面："
"Pages","页面"
"Pages Hierarchy","页面层次结构"
"Pages hierarchy has been copied to the selected scopes.","页面层次结构已复制到所选范围。"
"Pages hierarchy has been deleted from the selected scopes.","页面层次结构已从所选范围中删除。"
"Pagination Options for Nested Pages","嵌套页面的走马灯选项"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","请确认网站参数。所有未保存数据都将丢失。"
"Please select one or more destinations to copy the current hierarchy to","请选择一个或多个目的地，以便将当前层次结构复制过去"
"Please select one or more hierarchies to delete","请选择一个或多个要删除的层次结构"
"Please select revision(s).","请选择修订。"
"Please select version(s).","请选择版本。"
"Please select website or store view.","请选择网站或店铺视图。"
"Preview","预览"
"Previous","上一个"
"Private","私有"
"Protected","受保护"
"Public","公开"
"Publish","发布"
"Publish Revision","发布修订"
"Published","已发布"
"Published Revision Unavailable","已发布的修订不可用"
"Remove From Tree","从树中删除"
"Render Metadata in HTML Head","在HTML头部渲染元数据"
"Revision #","修订 #"
"Revision #%s","修订 #%s"
"Revision #%s could not be removed because it is published.","修订 #%无法删除，因为已经发布了。"
"Revision Information","修订信息"
"Revisions Qty","修订数量"
"Right Column","右栏"
"Root","根"
"Save","保存"
"Save Revision and Version","保存修订和版本"
"Save and Continue Edit","保存并继续编辑"
"Save and Publish","保存并发布"
"Save as New Version","保存为新版本"
"Save in New Version...","保存到新版本..."
"Section","选区"
"Select Page or Node...","选择页面或节点..."
"Show in Navigation Menu","显示在导航菜单"
"Single Hierarchy for All Store Views","用于全部商店视图的单个层次结构"
"Specific Hierarchy for Each Store View","用于每个商店视图的特定层次结构"
"Specify New Version Name (required)","指定新版本的名称（必须）"
"Square","方块"
"Template","模板"
"The hierarchy has been saved.","该层次结构已保存。"
"The new version has been created.","该新版本已创建。"
"The revision has been deleted.","该修订已删除。"
"The revision has been published.","该修订已发布。"
"The revision has been saved.","该修订已保存。"
"The version has been deleted.","该版本已删除。"
"The version has been saved.","该版本已保存。"
"There are unsaved node data. Are you sure you want to proceed?","有未保存的节点数据。您是否确认要继续？"
"There has been an error copying hierarchy.","复制层次结构时出错。"
"There has been an error deleting hierarchy.","删除层次结构时出错。"
"There has been an error saving hierarchy.","保存层次结构时出错。"
"This Page Belongs To","该页面属于"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","该页面无法添加，因为该树中已经存在使用相同URL Key的节点或页面。"
"Title","标题"
"Total of %d record(s) have been deleted","总共删除了 %d个记录。"
"Total of %d record(s) have been deleted.","总共%d记录已被删除。"
"Tree Viewed","查看过的树"
"URL Key","URL Key"
"Unable to find a revision to delete.","无法找到要删除的修订。"
"Unable to find a version to delete.","无法找到要删除的版本。"
"Under Version Control","位于版本控制下"
"Unordered","撤销下单"
"Update","更新"
"Upper Alpha (A, B, C, ...)","大写字母（A、B、C...）"
"Upper Roman (I, II, III, ...)","大写罗马数字（I、II、III...）"
"Use Parent","使用父母"
"Use Parent Node\'s Hierarchy","使用父节点的层次结构"
"Use default","使用默认"
"Version ""%s"" could not be removed because it is the last public version for its page.","版本“％s“不能被删除，因为它是这个页面最新发布的版本。"
"Version ""%s"" could not be removed because its revision has been published.","版本“％s“不能被删除，因为它的修订已发布。"
"Version #","版本 #"
"Version Control","版本控制"
"Version Information","版本信息"
"Version Label","版本标签"
"Version Revisions","版本修订"
"Version:","版本："
"Versions","版本"
"Website Root","网站根目录"
"Yes","是"
"You should specify valid name","您应制定有效名称"
"[No Owner]","[无所有者]"
