"-- Not Selected --","-- 未选择 --"
"Wishlist","愿望清单"
"Wishlist %s shared","愿望清单 %s 已共享"
"Wishlist is not empty and abandoned %s %s days and %s of these conditions match:","愿望清单非空且已弃用 %s %s 天，并且满足下列 %s 个条件："
"Wrong reminder rule requested.","请求的提醒规则有误。"
"Yes","是"
"base cost","基本成本"
"base price","基本价格"
"does not have","没有"
"found","找到"
"grand total","总数"
"has","有"
"is","是"
"is not","非"
"not found","未找到"
"quantity","数量"
"row weight","毛重"
"subtotal","小计"
"weight","重量"
